name,era
java-junit-pioneer-junit-pioneer-add-block-comment,fresh
java-nextcloud-android-add-if-branch-with-reused-return,pre
java-nextcloud-android-add-two-function-calls,pre
java-pdftk-java-pdftk-license-comment-change,fresh
java-pdftk-java-pdftk-real-change-all-across-the-file,fresh
java-protobuf-add-two-annotations,pre
java-protocolbuffers-protobuf-add-a-method,pre
java-protocolbuffers-protobuf-add-import-and-update-field-access,pre
java-refactor-constants,pre
java-scrcpy-public-to-protected,pre
java-scrcpy-remove-or-expression,pre
java-zeroc-ice-ice-comment-only-update,fresh
javascript-add-array-method,pre
javascript-add-destructuring,pre
javascript-add-event-listener,pre
javascript-fix-promises,revisited
javascript-grobian-carbonapi-web-add-binary-expression-to-existing-assignment,fresh
javascript-home-sweet-gnome-dash-to-panel-change-set-style-arguments,fresh
javascript-jquery-ui-rails-jquery-ui-rails-add-strict-and-move-function-call-parenthesis,fresh
javascript-jquery-ui-rails-jquery-ui-rails-update-text-in-string,fresh
javascript-jquery-ui-rails-jquery-ui-rails-update-text-in-string-2,fresh
javascript-microsoft-typescript-another-test-case-marked-with-strict,fresh
javascript-microsoft-typescript-broken-js-remove-string-fragment,pre
javascript-microsoft-typescript-test-data-pretending-to-be-code-maybe-broken-parsing,fresh
javascript-mozilla-firefox-add-comment,pre
javascript-refactor-arrow-func,pre
javascript-twbs-bootstrap-comment-version-update,pre
javascript-typescript-add-strict-3,pre
javascript-typescript-add-use-strict,pre
javascript-typescript-interesting-small-edit-refactor,pre
javascript-typescript-use-strict-2,pre
javascript-typescript-very-interesting-brokn-code,pre
javascript-usebruno-bruno-add-class-to-classname-attribute,fresh
javascript-usebruno-bruno-style-change,fresh
javascript-xpra-org-xpra-html5-small-change,fresh
json-apache-string-change-version,pre
json-excalidraw-excalidraw-change-translations-mostly-add,fresh
json-fedoraqt-qgnomeplatform-remove-from-list,fresh
json-fortawesome-font-awesome-string-change,fresh
json-gorhill-ublock-add-5-pairs,pre
json-governikus-ausweisapp-whitespace-only,fresh
json-ipfs-ipfs-desktop-only-update-version-strings,fresh
json-iwalton3-jellyfin-web-jmp-gigantic-file-trivial-string-version-change,fresh
json-kellyjonbrazil-jc-add-maxhops-to-traceroute,fresh
json-kiwix-kiwix-desktop-add-a-few-change-a-few,fresh
json-langflow-update-single-string,pre
json-main-branch-track_open_instances-remove-item-from-list,fresh
json-mastodon-add-translation,pre
json-nextcloud-server-deleted-pair,pre
json-nextcloud-server-remove-many-and-move-one,fresh
json-radarr-radarr-rename-string-key,pre
json-shadcn-ui-ui-react-code-in-string-constant,pre
json-shadcn-ui-ui-string-value-update-string-is-code,pre
json-webgpu-native-webgpu-headers-only-insertions,fresh
kotlin-add-data-class,pre
kotlin-add-null-check,pre
kotlin-add-validation,pre
kotlin-fix-loop-bug,pre
kotlin-jetbrains-kotlin-add-single-const,fresh
kotlin-jetbrains-kotlin-remove-one-comment-line,fresh
kotlin-jetbrains-kotlin-remove-some-deprecation,fresh
kotlin-jetbrains-kotlin-remove-typealias-with-annotations,fresh
kotlin-nextcloud-a-few-small-removals,pre
kotlin-nextcloud-android-add-a-feature,pre
kotlin-nextcloud-android-dot-to-question-mark-dot,pre
kotlin-nextcloud-android-extract-argument-into-variable,pre
kotlin-nextcloud-android-move-from-one-mocking-library-to-other,pre
kotlin-nextcloud-change-function-fingerprint,pre
kotlin-nextcloud-remove-function,pre
kotlin-nextcloud-whitespace-only-change,pre
kotlin-refactor-function,pre
kotlin-remove-function,pre
kotlin-small-api-change,pre
kotlin-yairm210-unciv-another-vector2-removal,fresh
kotlin-yairm210-unciv-move-from-vec2-to-hexexpression,fresh
kotlin-yairm210-unciv-remove-tovector2-from-multiple-callsites,fresh
kotlin-yairm210-unciv-small-change,fresh
kotlin-yairm210-unciv-vector2-to-hexgrid,fresh
kotlin-yairm210-unciv-yet-another-vector2-removal,fresh
lua-awesome-only-comment-change,pre
lua-awesomewm-awesome-align-to-halign,pre
lua-awesomewm-awesome-change-doccomments,pre
lua-awesomewm-awesome-comment-changes-and-additions,pre
lua-corsixth-corsixth-refactor-if-expressions,fresh
lua-dromozoa-dromozoa-utf8-only-comment-text-update,fresh
lua-luakit-luakit-actual-test-change-merging-two-tests-into-one,fresh
lua-luals-lua-language-server-add-gsub-function-call,fresh
lua-luals-lua-language-server-add-two-translations,fresh
lua-luaposix-luaposix-copyright-year-change,fresh
lua-neovim-neovim-add-if-around-one-line,pre
lua-neovim-neovim-add-new-logic,pre
lua-neovim-neovim-constant-changes,pre
lua-neovim-neovim-if-flips-two-branches,pre
lua-neovim-neovim-logic-change-with-some-code-re-use,fresh
lua-neovim-one-added-line,pre
lua-return-to-the-roots-s25client-add-two-items-to-list,fresh
lua-return-to-the-roots-s25client-few-added-lines,fresh
lua-teeworlds-teeworlds-add-or-expression-to-existing-if,fresh
php-consol-monitoring-pnp-move-from-one-function-to-other-that-has-more-params,fresh
php-doctrine-orm-delete-3-comments-and-update-1,fresh
php-icinga-icingaweb2-module-graphite-add-a-few-nodes,fresh
php-nextcloud-change-doccomment,pre
php-nextcloud-server-whitespace-and-added-declaration,pre
php-php-fig-log-deleted-a-class,fresh
php-rk4an-phpsysinfo-actual-logic-change,fresh
php-smarty-php-smarty-change-version-string,fresh
php-symfony-finder-move-elseif-block-to-else,fresh
php-theseer-directoryscanner-add-two-test-cases-and-reformat-file,fresh
php-wordpress-wordpress-add-null-to-return,pre
php-wordpress-wordpress-add-rtc-check,fresh
php-wordpress-wordpress-add-some-checks,fresh
php-wordpress-wordpress-update-doccomment,pre
php-wordpress-wordpress-version-update,pre
php-wordpress-wordpress-version-update-2,pre
php-wordpress-wordpress-version-update-3,pre
php-wordpress-wordpress-whitespace-only-change,pre
php-zetacomponents-base-whitespace-only-change,fresh
php-zetacomponents-consoletools-file-with-parse-errors-and-a-few-deletions,fresh
python-aajanki-yle-dl-tiny-change,fresh
python-aboutcode-org-license-expression-excellent-test-case,fresh
python-add-remove-block,pre
python-added-if-block,pre
python-added-if-block-small,pre
python-ansible-ansible-field-rename,pre
python-ansible-ansible-ridiculously-long-yaml-in-string-constant-and-actual-code-changes,fresh
python-api-change,pre
python-bolero-murakami-sprout-change-copyright-year,fresh
python-bugfix-loop,pre
python-cloudflare-cloudflare-python-comment-only-changes,fresh
python-django-django-update-unit-tests-actual-logic-change,fresh
python-espressomd-espresso-fix-comment-typo,fresh
python-fuzzyray-esearch-whitespace-only-change,fresh
python-langflow-ai-langflow-actual-change-of-logic,fresh
python-open-telemetry-opentelemetry-python-move-from-one-function-to-other,fresh
python-openhands-openhands-change-string-constant,pre
python-paddlepaddle-paddleocr-formatting-only-change,pre
python-pandas-dev-pandas-doccoment-changes-only,fresh
python-persepolisdm-persepolis-add-a-single-node,fresh
python-portagefilelist-client-remove-one-import-and-update-one-const-string,fresh
python-pytorch-pytorch-add-param-to-many-places-and-update-one,pre
python-refactoring,pre
python-thefuck-multiline-string-change,pre
python-ytdl-add-import-and-function-call,pre
python-zaneb-autopage-move-time-sleep,fresh
r-gtownsend-icon-one-letter-identifier-change,fresh
r-hroptatyr-dateutils-real-changes-to-an-r-script,fresh
r-mtytel-helm-dummy-file,fresh
r-oracle-dtrace-utils-i-have-no-idea-what-this-change-actually-does,fresh
ruby-homebrew-add-or-expression,pre
ruby-homebrew-brew-actual-logic-change,fresh
ruby-homebrew-brew-change-heredoc-to-string,pre
ruby-homebrew-brew-decent-amount-of-new-code-and-some-changes,fresh
ruby-homebrew-brew-enclose-block-in-rescue,fresh
ruby-homebrew-brew-function-callsite-argument-change,pre
ruby-homebrew-brew-real-small-change,fresh
ruby-intridea-multi_json-remove-double-colon,fresh
ruby-intridea-multi_json-remove-single-comma,fresh
ruby-jmespath-jmespath-formatting-and-style-guide-fixes,fresh
ruby-jmespath-jmespath-go-from-conditional-to-unless,fresh
ruby-junegunn-fzf-add-test-case,pre
ruby-junegunn-fzf-add-test-case-2,pre
ruby-main-branch-process_executer-actual-small-change,fresh
ruby-marcandre-backports-actual-small-change,fresh
ruby-mastodon-mastodon-use-context-and-new-test-case,fresh
