name,category,language,before_loc,after_loc,before_bytes,after_bytes,before_nodes,after_nodes,has_mapping,op_identical,op_update,op_match_but_not_identical,op_delete,op_delete_with_children,op_insert,op_insert_with_children,node_op_identical,node_op_update,node_op_match_but_not_identical,node_op_delete,node_op_delete_with_children,node_op_insert,node_op_insert_with_children,implicit_identical_nodes,paired_entries,depth_delta_0,depth_delta_1,depth_delta_2,depth_delta_3plus,reorder_signals,group_count,group_with_children,group_all_to_all,current_mismatches
c-postgres-postgres-preprocessor-heavy-change,stratified,C,40,70,695,1237,172,316,true,117,1,8,2,2,11,3,234,2,16,2,44,11,179,0,126,27,1,98,0,0,0,0,0,0
c-postgres-postgres-tiny-but-interesting,stratified,C,2087,2087,54109,54108,9115,9110,true,9102,1,7,5,0,0,0,18204,2,14,5,0,0,0,0,9110,9109,0,1,0,0,0,0,0,0
c-postgres-postgres-update-copyright-year,stratified,C,19,19,600,600,15,15,true,13,1,1,0,0,0,0,26,2,2,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0
c-postgres-real-logic-change,small,C,2051,1990,63055,61151,7769,7558,true,7385,3,40,11,15,9,2,15072,6,80,11,128,9,21,302,7428,7367,1,0,60,0,0,0,0,124
c-protocolbuffers-protobuf-add-to-preproc-define,stratified,C,220,221,7805,7886,722,722,true,718,1,3,0,0,0,0,1436,2,6,0,0,0,0,0,722,722,0,0,0,0,0,0,0,0
c-protocolbuffers-protobuf-change-regex,stratified,C,1159,1159,48342,48346,8580,8580,true,8573,1,6,0,0,0,0,17146,2,12,0,0,0,0,0,8580,8580,0,0,0,0,0,0,0,0
c-redis-redis-one-line-insert,stratified,C,4643,4644,184530,184563,35416,35425,true,35413,0,3,0,0,0,1,70826,0,6,0,0,0,9,0,35416,35416,0,0,0,0,0,0,0,0
c-relianoid-nftlb-zcu-log-to-u-log,full,C,228,228,5359,5339,1434,1434,true,1386,10,38,0,0,0,0,2772,20,76,0,0,0,0,0,1434,1434,0,0,0,0,0,0,0,0
c-rust-lang-rust-add-two-consts,stratified,C,6,8,110,199,31,63,true,30,0,1,0,0,0,2,60,0,2,0,0,0,32,0,31,31,0,0,0,0,0,0,0,0
c-sched-ext-scx-many-many-moves-some-deletes-some-adds,full,C,495,472,18025,17727,2585,2575,true,2563,2,5,15,0,5,0,5126,4,10,15,0,5,0,0,2570,2570,0,0,0,18,0,0,0,10
