language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations,exit_status
CPP,,bolero-MURAKAMI-Sprout,ea06f925655602a39750c2fd4fc88ecb98c9860f,sprout/math/atan2.hpp,0,0,0,0,failed_to_read,,,,,
CPP,,bolero-MURAKAMI-Sprout,26299dad18a7e16fcb4873ce7f9f26a3d2ac1925,sprout/complex/atanh.hpp,0,0,0,0,failed_to_read,,,,,
CPP,,bolero-MURAKAMI-Sprout,26299dad18a7e16fcb4873ce7f9f26a3d2ac1925,sprout/complex/exp.hpp,0,0,0,0,failed_to_read,,,,,
CPP,,bolero-MURAKAMI-Sprout,26299dad18a7e16fcb4873ce7f9f26a3d2ac1925,sprout/complex/sinh.hpp,0,0,0,0,failed_to_read,,,,,
CPP,,bolero-MURAKAMI-Sprout,09181940789f135c292e9c336d8ceffca0b1bec3,sprout/math/pow.hpp,0,0,0,0,failed_to_read,,,,,
Go,,bookingcom-carbonapi,fdc03a0345aef5bcf9de440a4ea3a609d33f0b7a,vendor/golang.org/x/text/unicode/norm/tables13.0.0.go,387722,387697,170441,170440,timed_out,,,,,
C,,brettbode-wxmacmolplt,dad9ba64d5a8c0f97f57ad87db097e3e79be4da3,src/InputData.h,0,0,0,0,failed_to_read,,,,,
CPP,,brettbode-wxmacmolplt,483492de08285606683d0801f5f796bf511825f6,src/Frame.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,brettbode-wxmacmolplt,e3bb94744dcab77952d3e949e7d041b30535d4f7,src/BFiles.cpp,0,0,0,0,failed_to_read,,,,,
C,,brunonymous-tecnoballz,921c5c0ef8e245d5f7cf87dce19d89167413abf1,include/controller_guardians.h,0,0,0,0,failed_to_read,,,,,
CPP,,brunonymous-tecnoballz,921c5c0ef8e245d5f7cf87dce19d89167413abf1,src/controller_guardians.cc,0,0,0,0,failed_to_read,,,,,
C,,chennes-med,f17a48594d7c668eb68850284c50aeb9c5fe7159,src/cfi/meshcf.c,0,0,0,0,failed_to_read,,,,,
Go,,cloudflare-cfssl,d124eca11bd1f4b2b9d7101db4db7eef82442bee,vendor/golang.org/x/text/unicode/norm/tables15.0.0.go,395043,395026,173912,173911,timed_out,,,,,
CPP,,darkbitsorg-guichan,2f06cf2f9942d35f69493d2d4b23502f0409bb4b,include/guichan/cairo.hpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,2f06cf2f9942d35f69493d2d4b23502f0409bb4b,include/guichan/directx3d/directx3dgraphics.hpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,2f06cf2f9942d35f69493d2d4b23502f0409bb4b,include/guichan/irrlicht/irrlichtinput.hpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,2f06cf2f9942d35f69493d2d4b23502f0409bb4b,src/containerevent.cpp,0,0,0,0,failed_to_read,,,,,
