language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
Rust,0-10,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/recursion/issue-23302-3.rs,77,117,28,30,ok,0.36214599999999997,11968,43296,30
Rust,0-10,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/traits/negative-impls/positive-specializes-negative.rs,207,155,64,62,ok,0.636684,27968,93740,64
Rust,0-10,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/traits/non_lifetime_binders/bad-copy-cond.rs,211,152,55,53,ok,0.499414,14176,56074,55
Rust,0-10,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/traits/non_lifetime_binders/object-lifetime-default-for-late.rs,189,130,53,51,ok,0.458026,14176,58408,53
Rust,0-10,rust-lang-rust.git,84442006abc09626ba04b966d42d86633de7e164,tests/rustdoc-ui/issues/issue-79494.rs,165,135,47,36,ok,0.40261399999999997,14176,51268,47
Rust,0-10,rust-lang-rust.git,84442006abc09626ba04b966d42d86633de7e164,tests/rustdoc-ui/rustc-check-passes.rs,89,99,36,36,ok,0.171867,14176,47934,36
Rust,0-10,rust-lang-rust.git,87d8f5885b4f289477e48090a86356302437cec9,tests/ui/static/bad-const-type.rs,127,157,36,38,ok,0.41336,14176,53671,42
Rust,0-10,rust-lang-rust.git,9b0be7857af8e355523b1db8b9e24acfd9be7db1,tests/ui/closures/binder/const-bound.rs,296,244,55,53,ok,0.502979,14432,56956,55
Rust,0-10,rust-lang-rust.git,9b0be7857af8e355523b1db8b9e24acfd9be7db1,tests/ui/closures/binder/type-bound-2.rs,215,163,49,47,ok,0.423882,14176,54844,49
Rust,0-10,rust-lang-rust.git,9b0be7857af8e355523b1db8b9e24acfd9be7db1,tests/ui/closures/binder/type-bound.rs,215,163,47,45,ok,0.442828,14176,54140,47
Rust,0-10,rust-lang-rust.git,9b0be7857af8e355523b1db8b9e24acfd9be7db1,tests/ui/error-codes/E0771.rs,239,180,68,66,ok,0.421875,27968,92434,68
