language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
C,,stratified,,c-postgres-postgres-tiny-but-interesting,54109,54108,9115,9110,ok,18.496998,3534976,11782949,9115
C,,stratified,,c-postgres-postgres-update-copyright-year,600,600,15,15,ok,0.030291,7280,24742,15
C,,small,,c-postgres-real-logic-change,63055,61151,7769,7558,ok,199.228169,14145716,73321538,7920
C,,stratified,,c-protocolbuffers-protobuf-add-to-preproc-define,7805,7886,722,722,ok,1.416203,222848,892490,722
C,,stratified,,c-protocolbuffers-protobuf-change-regex,48342,48346,8580,8580,ok,19.153798,3532928,11604702,8580
C,,stratified,,c-redis-redis-one-line-insert,184530,184563,35416,35425,ok,124.622586,14131328,45758979,35425
C,,full,,c-relianoid-nftlb-zcu-log-to-u-log,5359,5339,1434,1434,ok,3.423559,442496,1603658,1434
C,,stratified,,c-rust-lang-rust-add-two-consts,110,199,31,63,ok,0.152167,21536,74714,63
C,,full,,c-sched-ext-scx-many-many-moves-some-deletes-some-adds,18025,17727,2585,2575,ok,6.890097000000001,982970,3305727,2700
C,,stratified,,c-sqlite-sqlite-fix-format-string-typo,49542,49542,13434,13434,ok,28.870779,3532928,12542116,13434
C,,stratified,,c-tmux-tmux-delete-one-include,18295,18275,6812,6809,ok,21.276989999999998,1767552,6758100,6812
C,,full,,c-tripwire-tripwire-open-source-add-single-item-to-list,12613,12629,1201,1204,ok,6.553817,807974,2707214,1204
CPP,,full,,cpp-arximboldi-lager-add-two-test-cases,5931,7076,2322,2796,ok,9.681569,884864,3219532,2796
CPP,,full,,cpp-bolero-murakami-sprout-copyright-comment-update,3901,3901,809,809,ok,1.3679000000000001,221824,813794,809
CPP,,full,,cpp-bolero-murakami-sprout-copyright-update,2113,2113,489,489,ok,0.8461420000000001,221824,696242,489
CPP,,full,,cpp-bolero-murakami-sprout-copyright-update-3,9967,9967,2268,2268,ok,3.934386,883840,2936392,2268
CPP,,full,,cpp-cgdb-cgdb-struct-to-pointer,35391,35441,5708,5728,ok,19.753925,2116315,8794924,5873
CPP,,stratified,,cpp-electron-electron-add-imports,589,758,85,109,ok,0.276928,28224,122666,109
CPP,,small,,cpp-godot-small-bugfix,20670,20684,5826,5832,ok,14.445984000000001,1767552,7101406,5839
CPP,,stratified,,cpp-godotengine-godot-add-include,2868,2903,176,182,ok,0.46845,64064,258158,182
CPP,,stratified,,cpp-godotengine-godot-add-one-include,420428,420460,96272,96278,ok,450.672908,28254336,98516548,96278
CPP,,stratified,,cpp-godotengine-godot-add-one-include-2,33071,33105,9687,9693,ok,23.141877,3532928,11714230,9693
CPP,,stratified,,cpp-godotengine-godot-add-one-include-3,11437,11471,3044,3050,ok,5.631222,884864,3175207,3050
CPP,,stratified,,cpp-godotengine-godot-add-one-include-4,7963,7997,1810,1816,ok,3.428713,883840,2729124,1816
CPP,,stratified,,cpp-godotengine-godot-add-one-include-5,8181,8218,1743,1749,ok,3.313754,442496,1710718,1749
CPP,,stratified,,cpp-godotengine-godot-insert-one-include,45120,45144,13163,13169,ok,32.722283,3532928,12503541,13169
CPP,,stratified,,cpp-godotengine-godot-two-imports-added,8018,8097,1671,1683,ok,3.212491,442496,1684728,1683
CPP,,full,,cpp-jpnurmi-znc-playback-adding-new-feature,8890,10147,2768,3151,ok,27.768494,2375321,9066464,3151
CPP,,small,,cpp-ladybird-refactor-variables-if-changes,27975,29948,6028,6630,ok,224.456805,11016068,60316984,6656
