metric,language,p50,p90,p99,p999,p9999,max
bytes,Ruby,1059.0,6425.0,27248.0,71392.0,163303.0,229409
ast_nodes,Ruby,227.0,1394.0,5733.0,17756.0,28671.0,115715
lines_of_code,Ruby,38.0,200.0,771.0,2178.0,4710.0,4979
bytes,JavaScript,931.0,6022.0,50218.0,398241.0,2830568.0,9065365
ast_nodes,JavaScript,162.0,1379.0,11131.0,77967.0,251707.0,583259
lines_of_code,JavaScript,29.0,170.0,1184.0,5860.0,20507.0,65563
bytes,Lisp,12139.0,73319.0,274340.0,705683.0,1624770.0,1624770
ast_nodes,Lisp,0.0,0.0,0.0,0.0,0.0,0
lines_of_code,Lisp,0.0,0.0,0.0,0.0,0.0,0
bytes,Python,2848.0,19313.0,91502.0,268745.0,603689.0,1327626
ast_nodes,Python,615.0,4251.0,20661.0,64024.0,192259.0,333352
lines_of_code,Python,83.0,524.0,2387.0,6702.0,15875.0,18796
bytes,R,1064.0,1064.0,1064.0,1064.0,1064.0,1064
ast_nodes,R,245.0,245.0,245.0,245.0,245.0,245
lines_of_code,R,38.0,38.0,38.0,38.0,38.0,38
bytes,PHP,2070.0,13368.0,72594.0,215460.0,298785.0,354690
ast_nodes,PHP,423.0,3415.0,17951.0,51240.0,68971.0,73887
lines_of_code,PHP,71.0,403.0,2095.0,6402.0,8700.0,9280
