solution,mismatches,mismatch_pct,total_nodes,human_unsolved,algorithm_cost,human_cost,cost_diff,IdHash,IdHashAnc,FullMap,StructId,StructAnc,OptIDU,FlatSeq,Moved,Comment,BottomUp,GreedyAnchor,NormImport,NormNoPunct,NormNoLit,NormNoId,NormNoPunctLit,APTED:bottom_up_expansion,APTED:flow_control_arm,APTED:flow_control_container,APTED:greedy_anchor_block,APTED:impl,APTED:impl_method,APTED:semantic_node
typescript-add-type-annotations,71,40.34,176,false,0,40,-40,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0
cpp-add-templates,69,30.80,224,false,7,23,-16,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0
javascript-add-destructuring,68,50.75,134,false,0,31,-31,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-add-exception-handling,65,19.64,331,false,0,40,-40,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-fix-array-index,62,34.83,178,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,2,0,0,0
cpp-add-memory-management,53,27.04,196,false,0,26,-26,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-sniffnet-protocol,51,5.70,895,false,67,65,2,9,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,315
cpp-fix-segfault,49,14.41,340,false,0,0,0,2,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,28,0,0,0,0,0
typescript-refactor-interface,41,12.58,326,false,8,48,-40,2,130,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0
python-added-if-block-small,35,56.45,62,false,0,8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
css-add-property,31,12.06,257,false,0,5,-5,4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-add-value-to-enum,28,10.11,277,false,3,3,0,5,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
kotlin-add-data-class,24,12.70,189,false,25,48,-23,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
rust-algorithm-change,24,6.52,368,false,107,77,30,6,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
rust-next-font-imports-generator,22,0.46,4761,false,43,29,14,28,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,0,0,0,16,307,0
kotlin-nextcloud-remove-function,20,0.14,14174,false,243,228,15,96,6578,0,1,65,0,0,0,4,1,0,0,0,0,0,0,12,0,0,0,0,0,442
python-add-remove-block,18,5.71,315,false,50,50,0,5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
python-bugfix-loop,18,5.33,338,false,43,43,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
c-postgres-real-logic-change,17,0.11,15327,false,477,49,428,62,6404,0,0,0,0,0,46,35,1,0,0,0,0,0,0,404,948,0,0,0,0,0
rust-add-to-existing-use,16,23.19,69,false,0,6,-6,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python-added-if-block,12,3.44,349,false,13,13,0,2,108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,0,0,0
cpp-godot-small-bugfix,11,0.09,11658,false,20,9,11,45,5648,0,0,0,0,0,0,4,3,0,0,0,0,0,0,46,93,0,0,0,0,0
csharp-sonarr-change-type,11,1.84,598,false,13,2,11,6,177,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
json-apache-string-change-version,6,0.07,8620,false,7,1,6,5,3777,0,1,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-error-handling,6,1.99,301,false,67,60,7,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
c-linux-small-bugfix,4,0.01,47986,false,48,44,4,156,23424,0,0,0,0,0,28,15,1,0,0,0,0,0,0,252,141,0,0,0,0,0
kotlin-nextcloud-a-few-small-removals,4,0.06,6892,false,208,208,0,63,1920,0,0,0,0,0,0,1,1,0,0,0,0,0,0,33,0,0,0,0,0,1532
c-linux-small-change-struct-to-char,2,0.01,22754,false,38,38,0,69,10706,0,0,0,0,0,0,20,1,0,0,0,0,0,0,275,325,0,0,0,0,0
go-prometheus-single-comment-change,1,0.23,426,false,2,1,1,2,195,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin-add-null-check,1,0.63,158,false,16,16,0,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
kotlin-add-validation,1,0.52,192,false,60,60,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
python-refactoring,1,0.37,267,false,93,93,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
rust-add-if,1,0.72,139,false,23,23,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
rust-hello-world-added-message,1,1.79,56,false,12,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
rust-hello-world-removed-message,1,1.79,56,false,12,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
cpp-libreoffice-add-const,0,0.00,12024,false,2,2,0,65,5856,0,0,0,0,0,0,5,1,0,0,0,0,0,0,86,0,0,0,0,0,0
cpp-libreoffice-remove-return-value,0,0.00,6863,false,7,7,0,37,3348,0,0,0,0,0,0,7,1,0,0,0,0,0,0,42,0,0,0,0,0,0
cpp-ollama-add-function-argument,0,0.00,8816,false,12,12,0,76,4166,0,0,0,0,0,0,9,1,0,0,0,0,0,0,162,0,0,0,0,0,0
cpp-whitespace-only-change,0,0.00,1856,false,0,0,0,1,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
css-playwright-add-class-selector,0,0.00,805,false,5,5,0,13,362,0,0,0,0,0,0,1,1,0,0,0,0,0,0,28,0,0,0,0,0,0
go-lazygit-add-to-if-condition,0,0.00,6476,false,12,12,0,47,2996,0,0,0,0,0,0,7,1,0,0,0,0,0,0,24,0,0,0,0,0,169
kotlin-fix-loop-bug,0,0.00,266,false,4,4,0,6,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47
kotlin-small-api-change,0,0.00,1565,false,15,15,0,17,674,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,88
rust-cost-optimization,0,0.00,418,false,16,16,0,8,142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66
rust-leetcode-1-bugfix,0,0.00,481,false,41,41,0,10,175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,71,0
rust-no-change,0,0.00,766,false,0,0,0,1,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-tauri-api-build-1,0,0.00,907,false,5,4,1,7,276,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,167
rust-tauri-api-build-2,0,0.00,909,false,4,4,0,7,345,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,98
rust-tauri-cli-ios-dev,0,0.00,5162,false,2,2,0,22,2077,0,0,0,0,0,0,2,1,0,0,0,0,0,0,65,0,0,0,0,0,415
rust-turbopack-persistence-tools-main,0,0.00,925,false,12,12,0,10,356,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27,0,0,0,0,0,73
rust-zed-git-panel-settings,0,0.00,1232,false,22,22,0,21,182,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,4,277,102
