language,size_bucket,repository,commit,path,loc_before,loc_after,loc_combined,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms
Swift,10-30,google-addlicense,66bad5e5632ad865eeeceb9c9301b555f0b92016,testdata/expected/file.swift,15,15,30,612,611,25,25,ok,0.23078300000000002
Swift,10-30,tree-sitter-tree-sitter-javascript,a48cee89ea5a4866d8516ab344c1f4b35acf999f,bindings/swift/TreeSitterJavaScriptTests/TreeSitterJavaScriptTests.swift,12,12,24,383,383,98,98,ok,4.567296
Swift,10-30,tree-sitter-tree-sitter-jsdoc,970bbc2f7d5001bd2733b5513889398b7e55e41e,bindings/swift/TreeSitterJSDocTests/TreeSitterJSDocTests.swift,12,12,24,363,363,98,98,ok,4.065832
Swift,10-30,tree-sitter-tree-sitter-ql,56ee2e6e463b3238ae8491315566c0b5c697a5a4,bindings/swift/TreeSitterQLTests/TreeSitterQLTests.swift,12,12,24,351,351,98,98,ok,4.08699
Swift,10-30,tree-sitter-tree-sitter-typescript,18bb23acd962f0d96126dcfc165271873c355c04,bindings/swift/TreeSitterTypeScriptTests/TreeSitterTypeScriptTests.swift,15,20,35,587,667,148,174,ok,13.616705
Swift,100-300,apple-swift-argument-parser,04695ec5448962bcd5e4616ed184b8a2168751e7,Examples/math/Math.swift,272,272,544,7829,7831,2217,2217,timed_out,
Swift,100-300,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Sources/ArgumentParser/Completions/CompletionsGenerator.swift,222,278,500,7047,8313,1494,1966,timed_out,
Swift,100-300,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Sources/ArgumentParser/Completions/ZshCompletionsGenerator.swift,289,285,574,8974,8927,2043,2174,timed_out,
Swift,100-300,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Sources/ArgumentParser/Utilities/Mutex.swift,60,143,203,2180,4366,232,1020,ok,208.97189799999998
Swift,100-300,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Tests/ArgumentParserExampleTests/MathExampleTests.swift,285,283,568,8923,8892,1461,1489,timed_out,
Swift,100-300,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Tests/ArgumentParserPackageManagerTests/Tests.swift,111,110,221,3760,3743,955,952,timed_out,
Swift,100-300,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Tests/ArgumentParserUnitTests/CompletionScriptTests.swift,255,255,510,7673,7652,2629,2641,timed_out,
Swift,100-300,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Tests/ArgumentParserUnitTests/ExitCodeTests.swift,102,118,220,2921,3352,837,969,timed_out,
Swift,100-300,apple-swift-argument-parser,84babd683b234be8f0dabc61bdf9e2128b589b72,Sources/ArgumentParser/Parsable Properties/ArgumentDiscussion.swift,144,164,308,4145,4730,639,659,ok,0.139035
Swift,100-300,apple-swift-corelibs-libdispatch,13151a69447b6ffec8e05fb350113f5aeacaf436,src/swift/Dispatch.swift,183,183,366,5946,5989,1748,1764,timed_out,
Swift,100-300,apple-swift-corelibs-libdispatch,29ebbaabe744881d7789b94ff565b6e9955829e1,src/swift/Time.swift,233,233,466,8282,8292,2178,2182,timed_out,
Swift,100-300,apple-swift-corelibs-libdispatch,68acc3f9cec6786ab0f9c3b39409a5b1f6e6ea22,src/swift/Block.swift,119,103,222,4152,3816,1121,985,timed_out,
Swift,100-300,apple-swift-corelibs-libdispatch,7c19a4fe839e224030acaf51d655b20202563767,src/swift/Time.swift,233,233,466,8292,8312,2182,2190,timed_out,
Swift,100-300,apple-swift-corelibs-libdispatch,870dc0de2af24c2434bcb1497e73213864491983,src/swift/Block.swift,111,111,222,3994,4010,1060,1065,timed_out,
Swift,100-300,apple-swift-corelibs-libdispatch,a0fc878a0d9585dd5f4e2b38f5daf0d999814509,src/swift/Block.swift,111,119,230,4010,4152,1065,1121,timed_out,
Swift,100-300,apple-swift-corelibs-libdispatch,a166a8d32243e391f2d7beaa9bdac49c287333bc,src/swift/Time.swift,233,233,466,8271,8282,2174,2178,timed_out,
Swift,100-300,logseq-logseq,28c397e894f07e65c672f192435d7a41db4d7193,ios/App/App/LiquidTabsPlugin.swift,82,142,224,2375,4528,728,1054,timed_out,
Swift,100-300,signalapp-libsignal,8894050176405d92aaae0ff46292c729a9ea763e,swift/Tests/LibSignalClientTests/ChatServices/UnauthMessagesServiceTests.swift,148,152,300,5203,5373,1159,1167,timed_out,
Swift,100-300,zeroc-ice-ice,14bc2f79c269266297cd5ff431806b22f858f5d5,swift/src/Ice/Initialize.swift,207,218,425,9149,9644,1448,1588,ok,364.100928
Swift,100-300,zeroc-ice-ice,14bc2f79c269266297cd5ff431806b22f858f5d5,swift/test/Ice/properties/Client.swift,151,166,317,5826,6687,1785,1956,timed_out,
Swift,1000-3000,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Tests/ArgumentParserUnitTests/HelpGenerationTests.swift,1421,1421,2842,39968,40048,6995,7025,timed_out,
Swift,1000-3000,apple-swift-argument-parser,84babd683b234be8f0dabc61bdf9e2128b589b72,Tests/ArgumentParserUnitTests/HelpGenerationTests.swift,1421,1495,2916,40048,42471,7025,7284,timed_out,
Swift,1000-3000,grpc-grpc,4944adfc141d528880af833133b8e02a611a8d0e,Package.swift,2391,2392,4783,147697,147741,12246,12251,timed_out,
Swift,30-100,KRTirtho-spotube,3aca7372af8ae1b62a2ad657341331a5d310d678,macos/Flutter/GeneratedPluginRegistrant.swift,50,52,102,2500,2607,746,782,timed_out,
Swift,30-100,KRTirtho-spotube,3fd7a18159e6861562ac225e6e459388d81e6001,macos/Flutter/GeneratedPluginRegistrant.swift,52,52,104,2663,2686,782,782,timed_out,
Swift,30-100,KRTirtho-spotube,4050f556400aaec5515231578512cf1a6b990110,macos/Flutter/GeneratedPluginRegistrant.swift,44,46,90,2144,2252,638,674,ok,740.167048
Swift,30-100,KRTirtho-spotube,834445eda3aba3c5329a1d61abc2b334895b1b4b,macos/Flutter/GeneratedPluginRegistrant.swift,66,62,128,3554,3278,1034,962,timed_out,
Swift,30-100,KRTirtho-spotube,a9c78b786343bdc744745d884e59601a5834fd91,macos/Flutter/GeneratedPluginRegistrant.swift,52,50,102,2607,2500,782,746,timed_out,
Swift,30-100,tree-sitter-grammars-tree-sitter-lua,99fc677e6971c425e8d407f59c77ab897e585c92,Package.swift,49,60,109,1502,1672,333,374,ok,109.656295
