language,size_bucket,repository,commit,path,loc_before,loc_after,loc_combined,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms
PHP,0-10,ConSol-Monitoring-pnp,7b1d3c94cc337e4d5909824cab5bb87c6c101fd6,share/pnp/application/vendor/fpdf/font/courier.php,7,8,15,250,118,126,87,ok,6.0876790000000005
PHP,0-10,Novik-ruTorrent,2868f858c5a8e5ac960d48da35d17209824bddb4,plugins/filedrop/conf.php,5,5,10,97,97,28,28,ok,0.8589910000000001
PHP,0-10,WordPress-WordPress.git,376c614964d606f08ac9bbd208040a857b47aba4,wp-includes/assets/script-loader-packages.min.php,1,1,2,12903,12903,4722,4722,timed_out,
PHP,0-10,WordPress-WordPress.git,376c614964d606f08ac9bbd208040a857b47aba4,wp-includes/assets/script-loader-packages.php,1,1,2,12651,12651,4722,4722,timed_out,
PHP,0-10,WordPress-WordPress.git,376c614964d606f08ac9bbd208040a857b47aba4,wp-includes/assets/script-modules-packages.min.php,1,1,2,1892,1892,618,618,ok,289.18752800000004
PHP,0-10,WordPress-WordPress.git,376c614964d606f08ac9bbd208040a857b47aba4,wp-includes/assets/script-modules-packages.php,1,1,2,1844,1844,618,618,ok,290.545214
PHP,0-10,lingej-pnp4nagios,7b1d3c94cc337e4d5909824cab5bb87c6c101fd6,share/pnp/application/vendor/fpdf/font/courier.php,7,8,15,250,118,126,87,ok,11.419557000000001
PHP,0-10,myclabs-DeepCopy,b0569f285042fb9c2aa57b44ad51b612622ace21,fixtures/f008/B.php,7,7,14,55,80,18,27,ok,0.78271
PHP,0-10,phar-io-version,3617394d589841a78c9fded4fc1c400f34773a17,src/exceptions/NoBuildMetaDataException.php,5,5,10,133,135,32,32,ok,0.035235999999999996
PHP,0-10,php-fedora-autoloader,ff2304f4600c3b9872094af43715368015f1fae7,tests/fixtures/Foo/Bar.php,8,8,16,60,62,23,23,ok,0.037328
PHP,0-10,php-fedora-autoloader,ff2304f4600c3b9872094af43715368015f1fae7,tests/fixtures/Foo2/Bar.php,8,8,16,60,62,23,23,ok,0.031393000000000004
PHP,0-10,php-fedora-autoloader,ff2304f4600c3b9872094af43715368015f1fae7,tests/fixtures/Foo2/Bar3.php,8,8,16,62,64,23,23,ok,0.018903
PHP,0-10,php-fig-log,cebace1ca37a6158796cd2368bd9afae59081745,Psr/Log/InvalidArgumentException.php,7,7,14,117,96,23,20,ok,0.708326
PHP,0-10,theseer-DirectoryScanner,9e6b0305158f6ac59d9ec411010df3f2b378cd05,tests/init.php,6,6,12,161,203,35,46,ok,2.067015
PHP,0-10,theseer-DirectoryScanner,f71c29663e33da20d4576ec3acb1d0d2064a7201,tests/init.php,8,6,14,137,161,25,35,ok,1.292482
PHP,0-10,zetacomponents-Base,850e8287b035fa8b13bd5ab563eacaf1ee2ec1b5,tests/test_repository/autoload_files/objet_autoload.php,5,5,10,60,59,22,22,ok,0.9969779999999999
PHP,0-10,zetacomponents-Base,850e8287b035fa8b13bd5ab563eacaf1ee2ec1b5,tests/test_repository/object/object.php,4,5,9,25,85,9,11,ok,0.297833
PHP,10-30,evert-SabreAMF,4831e50c806267efc15dff63c4cb891746b6373a,examples/client.php,13,13,26,395,393,78,76,ok,8.904772
PHP,10-30,evert-SabreAMF,d3344fb7d86515e29c0281da5e6c05f1733bacd5,SabreAMF/DetailException.php,29,29,58,781,781,18,18,ok,0.490847
PHP,10-30,lingej-pnp4nagios,18f119db55b5fc82c6213e67ef57e238a5f29b76,share/pnp/application/vendor/fpdf/font/courierb.php,8,10,18,123,447,87,281,ok,11.210862
PHP,10-30,lsp-plugins-lsp-plugins,1c0d8b94e7ca0421796ff4e8f20d0acefd6378b4,src/doc/config/menu.php,26,28,54,1141,1307,440,487,ok,172.63157800000002
PHP,10-30,myclabs-DeepCopy,8c42cfd41b5b01d33e4809e2255a2625b642eb15,src/DeepCopy/Filter/SetNullFilter.php,24,26,50,482,534,110,122,ok,5.796371
PHP,10-30,myclabs-DeepCopy,b0569f285042fb9c2aa57b44ad51b612622ace21,fixtures/f008/A.php,18,18,36,210,235,71,80,ok,1.9810309999999998
PHP,10-30,myclabs-DeepCopy,b0569f285042fb9c2aa57b44ad51b612622ace21,tests/DeepCopyTest/Filter/SetNullFilterTest.php,27,27,54,563,588,177,186,ok,15.172393
PHP,10-30,nikic-PHP-Parser,5ad295a61524fda27c80d4c426052c3e9646c9d1,lib/PhpParser/Node/Expr/Cast/Bool_.php,11,15,26,208,348,65,86,ok,2.321977
PHP,10-30,php-fedora-autoloader,560be5d6f91ca52513db2e739cd7990e44209e04,tests/fixtures/Foo/classmap.php,12,12,24,230,229,80,79,ok,3.539239
PHP,10-30,php-fedora-autoloader,6c56bb6f02c2cf91ce431ad15dab3dbf092d7098,src/autoload.php,12,13,25,391,430,41,52,ok,1.358336
PHP,10-30,php-fedora-autoloader,882a38b5b59fc12e5b58023be2637f3e6afc13a3,tests/fixtures/Foo/classmap.php,12,12,24,217,229,72,79,ok,6.966115
PHP,10-30,rdiankov-collada-dom,94433cd7445db88420cd239e6a3d87bcbd2883cc,dom/codeGen/1.4/om/xsMinExclusive.php,21,21,42,439,433,82,82,ok,16.735404
PHP,10-30,rdiankov-collada-dom,94433cd7445db88420cd239e6a3d87bcbd2883cc,dom/codeGen/1.4/tpl/tpl-dot-h.php,28,28,56,776,770,229,229,ok,35.186914
PHP,10-30,rdiankov-collada-dom,94433cd7445db88420cd239e6a3d87bcbd2883cc,dom/codeGen/1.5/om/xsAll.php,27,27,54,617,611,166,166,ok,20.273443
